age_group,statefip,poverty_rate,ubi
child,41,0.07668166801019054,1000
child,42,0.10476702165764028,1000
child,44,0.08391783264803485,1000
child,45,0.12093398593028205,1000
child,46,0.071295309573922,1000
child,47,0.09412024588671077,1000
child,48,0.12196798673335718,1000
child,49,0.06064821093944939,1000
child,50,0.09801541936072125,1000
child,51,0.11494425178790922,1000
child,53,0.06827211136459513,1000
child,54,0.09663773683412961,1000
child,55,0.060025428921012994,1000
child,56,0.06952268371736166,1000
adult,1,0.09332044457228789,2000
adult,2,0.10813810842995739,2000
adult,4,0.08712926406803104,2000
adult,5,0.09635136992948756,2000
adult,6,0.14159441533964637,2000
adult,8,0.09721561778247438,2000
adult,9,0.08995183915332966,2000
adult,10,0.08093689798581273,2000
adult,11,0.14438784888016176,2000
adult,12,0.12280220910607771,2000
adult,13,0.104402143318089,2000
adult,15,0.11172614660345004,2000
adult,16,0.06887863550985578,2000
adult,17,0.0900054023922171,2000
adult,18,0.0738698351296903,2000
adult,19,0.05852815078550996,2000
adult,20,0.0581621349777963,2000
adult,21,0.08903557164141652,2000
adult,22,0.11743467726599446,2000
adult,23,0.06976907880337832,2000
adult,24,0.10964987963366227,2000
adult,25,0.09424144449376388,2000
adult,26,0.0769436631921139,2000
adult,27,0.05101552802041514,2000
adult,28,0.11506882877558475,2000
adult,29,0.06953410478362748,2000
adult,30,0.07078816913320522,2000
adult,31,0.07232545718927413,2000
adult,32,0.10668153814180432,2000
adult,33,0.06713317267978142,2000
adult,34,0.10624350542205131,2000
adult,35,0.0962446846229863,2000
adult,36,0.11933374045853151,2000
adult,37,0.10254832620136765,2000
adult,38,0.07582838638959813,2000
adult,39,0.07720507409057277,2000
adult,40,0.08218682656396431,2000
adult,41,0.09208011373365746,2000
adult,42,0.08175956198410358,2000
adult,44,0.05638366553212062,2000
adult,45,0.10519244737084442,2000
adult,46,0.0671376005488237,2000
adult,47,0.07988589978874558,2000
adult,48,0.11046016436532807,2000
adult,49,0.06860355158783392,2000
adult,50,0.07962028170986085,2000
adult,51,0.09336830622196057,2000
adult,53,0.0663603987293971,2000
adult,54,0.08738202513573363,2000
adult,55,0.061400722021917764,2000
adult,56,0.08189782509984896,2000
child,1,0.0890188787195668,2000
child,2,0.09685829140301769,2000
child,4,0.061731054772400935,2000
child,5,0.07627617819316071,2000
child,6,0.1307813747969028,2000
child,8,0.06628883228297779,2000
child,9,0.10499268241129932,2000
child,10,0.06254745332352757,2000
child,11,0.11199570293801299,2000
child,12,0.10858048861086997,2000
child,13,0.10064997087799304,2000
child,15,0.10127548071947455,2000
child,16,0.03380116072530825,2000
child,17,0.07333706316066375,2000
child,18,0.08086325100763068,2000
child,19,0.05011203074230408,2000
child,20,0.04224114692698412,2000
child,21,0.06472300179546572,2000
child,22,0.11678862028715589,2000
child,23,0.04941475482333563,2000
child,24,0.07010032338979877,2000
child,25,0.06679945335534115,2000
child,26,0.060182680536245155,2000
child,27,0.03043867288910326,2000
child,28,0.08587240437573902,2000
child,29,0.05143395390849818,2000
child,30,0.055555314821528624,2000
child,31,0.060540087676799775,2000
child,32,0.0780278173212983,2000
child,33,0.05194652962604626,2000
child,34,0.09522675320712518,2000
child,35,0.0773112263853642,2000
child,36,0.11150518235959443,2000
child,37,0.06991460911587899,2000
child,38,0.05714146344100318,2000
child,39,0.061421003882843966,2000
child,40,0.05550640861840426,2000
child,41,0.058475760341964056,2000
child,42,0.08405902277972281,2000
child,44,0.0700815139409926,2000
child,45,0.08464660919957546,2000
child,46,0.05771289198418499,2000
child,47,0.07163549817115812,2000
child,48,0.09283963317841402,2000
child,49,0.047448732078384265,2000
child,50,0.07725720346487314,2000
child,51,0.09249956478890305,2000
child,53,0.0554039313381103,2000
child,54,0.06724681294538552,2000
child,55,0.04040965683787214,2000
child,56,0.04925437562695281,2000
adult,1,0.08233668059569801,3000
adult,2,0.09560545034933292,3000
adult,4,0.07749491415635817,3000
adult,5,0.0841104342768463,3000
adult,6,0.12899983936026424,3000
adult,8,0.08719720354383376,3000
adult,9,0.08078546263877802,3000
adult,10,0.07087218432036656,3000
adult,11,0.1324169999644409,3000
adult,12,0.11010479218988735,3000
adult,13,0.09517959233512535,3000
adult,15,0.10164016051434133,3000
adult,16,0.05995725167456387,3000
adult,17,0.08097527358688728,3000
adult,18,0.06348304529348486,3000
adult,19,0.05362570359660499,3000
adult,20,0.052904453239836564,3000
adult,21,0.07684534247805311,3000
adult,22,0.10530446992680248,3000
adult,23,0.05821828618532195,3000
adult,24,0.10028729196617144,3000
adult,25,0.08558893087450534,3000
adult,26,0.06820339085093828,3000
adult,27,0.04631219784561792,3000
adult,28,0.09845216469186381,3000
adult,29,0.05909244784879713,3000
adult,30,0.061555679978953004,3000
adult,31,0.0630113352566922,3000
adult,32,0.09684872545061146,3000
adult,33,0.05945094120335433,3000
adult,34,0.09801795823713695,3000
adult,35,0.08175165718382293,3000
adult,36,0.10721877027774611,3000
adult,37,0.09232420387901173,3000
adult,38,0.06857540424321901,3000
adult,39,0.0671505324203569,3000
adult,40,0.07165371903139024,3000
adult,41,0.08003747163894556,3000
adult,42,0.07250857675973987,3000
adult,44,0.050134389591043646,3000
adult,45,0.09478317781007177,3000
adult,46,0.06188804528848696,3000
adult,47,0.07069366513311928,3000
adult,48,0.09884170594747625,3000
adult,49,0.05994820063933772,3000
adult,50,0.07035447521870679,3000
adult,51,0.08516493456999655,3000
adult,53,0.061577547935416074,3000
adult,54,0.0746914614940132,3000
adult,55,0.053155760127357364,3000
adult,56,0.0706947494741134,3000
child,1,0.0674004592190841,3000
child,2,0.08198629576694633,3000
child,4,0.04426563881493571,3000
child,5,0.05489558303621525,3000
child,6,0.1003589545776471,3000
child,8,0.054053039189839766,3000
child,9,0.08397602142281262,3000
child,10,0.046220599347645816,3000
child,11,0.08041165455729173,3000
child,12,0.08500508976418863,3000
child,13,0.07581906902822119,3000
child,15,0.07897063180733623,3000
child,16,0.024345326603837206,3000
child,17,0.05983594473691909,3000
child,18,0.059929648355950445,3000
child,19,0.037682135229886164,3000
child,20,0.03404210924404377,3000
child,21,0.04705342756753964,3000
child,22,0.08337308010489423,3000
child,23,0.042703409311005296,3000
child,24,0.054312454117350244,3000
child,25,0.04882931713780929,3000
child,26,0.04697931832947575,3000
child,27,0.02114706792957271,3000
child,28,0.06168823300733226,3000
child,29,0.03596933288550444,3000
child,30,0.044261547861725245,3000
child,31,0.047607806358176484,3000
child,32,0.06384480306873686,3000
child,33,0.03827211775690229,3000
child,34,0.07515892169227692,3000
child,35,0.0555633541086742,3000
child,36,0.08939303542460485,3000
child,37,0.04965635514755134,3000
child,38,0.04471221702313412,3000
child,39,0.045125449567924275,3000
child,40,0.04208767502795619,3000
child,41,0.04783055532980535,3000
child,42,0.06745433270003058,3000
child,44,0.058485734146249836,3000
child,45,0.06464426069947601,3000
child,46,0.04437669174137669,3000
child,47,0.055116320145630185,3000
child,48,0.07166647917739172,3000
child,49,0.03911909369756776,3000
child,50,0.06353321723626236,3000
child,51,0.07106057489052904,3000
child,53,0.04425848177463786,3000
child,54,0.04991493086130879,3000
child,55,0.030809582877081774,3000
child,56,0.0377372586007802,3000
adult,1,0.07331975383118101,4000
adult,2,0.0861973019752368,4000
adult,4,0.06962012575339169,4000
adult,5,0.07097643244878964,4000
adult,6,0.11763833792182153,4000
adult,8,0.07999893427705253,4000
adult,9,0.07265055757072358,4000
adult,10,0.06414192866316919,4000
adult,11,0.12182583677853241,4000
adult,12,0.0980315214999567,4000
adult,13,0.08488101438328755,4000
adult,15,0.09445728161264866,4000
adult,16,0.05485617454097478,4000
adult,17,0.07386570500561469,4000
adult,18,0.05575426909695003,4000
adult,19,0.047511085139959115,4000
adult,20,0.04859847670306275,4000
adult,21,0.06613782991316426,4000
adult,22,0.09290712840423389,4000
adult,23,0.04953366873556003,4000
adult,24,0.09409291577815751,4000
adult,25,0.07667106721925293,4000
adult,26,0.05974644326486218,4000
adult,27,0.04038348526462649,4000
adult,28,0.0855479589691159,4000
adult,29,0.053488285875177795,4000
adult,30,0.0534530903366248,4000
adult,31,0.057368169638960624,4000
adult,32,0.0843161151560533,4000
adult,33,0.05385026264469853,4000
adult,34,0.08770609022753102,4000
adult,35,0.07032883258807426,4000
adult,36,0.09579619118015661,4000
adult,37,0.08032192547633035,4000
adult,38,0.0597674433842381,4000
adult,39,0.05599809911162534,4000
adult,40,0.0628387601549294,4000
adult,41,0.07052843249044892,4000
adult,42,0.06451633941483048,4000
adult,44,0.04444079563174368,4000
adult,45,0.08586930391615942,4000
adult,46,0.05373808745610149,4000
adult,47,0.06144578893283755,4000
adult,48,0.08751389006974963,4000
adult,49,0.05345166684002567,4000
adult,50,0.06038064231597084,4000
adult,51,0.07521172801136718,4000
adult,53,0.056279933000557954,4000
adult,54,0.06481880140968176,4000
adult,55,0.047503295283732344,4000
adult,56,0.06066940498364423,4000
child,1,0.05311279993247926,4000
child,2,0.07135879663432317,4000
child,4,0.0339310663345616,4000
child,5,0.03764698173711128,4000
child,6,0.07743378733863815,4000
child,8,0.04784426742737372,4000
child,9,0.0692889179889751,4000
child,10,0.03692893164105144,4000
child,11,0.06145517617624985,4000
child,12,0.06866462818800306,4000
child,13,0.059970048386742164,4000
child,15,0.06088926313571262,4000
child,16,0.016927561496462056,4000
child,17,0.04584492211060383,4000
child,18,0.044307497848582664,4000
child,19,0.026825705889351327,4000
child,20,0.026961423763084417,4000
child,21,0.03367878230889136,4000
child,22,0.057501119652258875,4000
child,23,0.03126322329581686,4000
child,24,0.04596625912847995,4000
child,25,0.035890264260603044,4000
child,26,0.035775782775183576,4000
child,27,0.016079434860355485,4000
child,28,0.04641154787534283,4000
child,29,0.02446569748220994,4000
child,30,0.03492610114625434,4000
child,31,0.035889236660220834,4000
child,32,0.051092215123051815,4000
child,33,0.026559462426939223,4000
child,34,0.05994280573200174,4000
child,35,0.03739259603098162,4000
child,36,0.0725833871048592,4000
child,37,0.0373599791991605,4000
child,38,0.03493703492210504,4000
child,39,0.03264734806465278,4000
child,40,0.033483266773192584,4000
child,41,0.037469080639935315,4000
child,42,0.054216145380733466,4000
child,44,0.04394693554816163,4000
child,45,0.04699964055508706,4000
child,46,0.03168519795957951,4000
child,47,0.04400231749746999,4000
child,48,0.05390926725669456,4000
child,49,0.03276250397436599,4000
child,50,0.05034404715356605,4000
child,51,0.05638817711075666,4000
child,53,0.034860599364931646,4000
child,54,0.03343316018642152,4000
child,55,0.022785487628647266,4000
child,56,0.02952861493887079,4000
adult,1,0.06597020156172524,5000
adult,2,0.0796705465588311,5000
adult,4,0.06180710119901394,5000
adult,5,0.06121761379686063,5000
adult,6,0.10767018782736687,5000
adult,8,0.07286499010562837,5000
adult,9,0.06731049799363154,5000
adult,10,0.05702436855460612,5000
adult,11,0.11007347175118291,5000
adult,12,0.08748812464396233,5000
adult,13,0.07717714835593593,5000
adult,15,0.08888986862150892,5000
adult,16,0.04536344676625314,5000
adult,17,0.06740384720443626,5000
adult,18,0.048732170926357475,5000
adult,19,0.04157606786743064,5000
adult,20,0.04415993666109601,5000
adult,21,0.0572654102431515,5000
adult,22,0.08252169953673566,5000
adult,23,0.04295571987095376,5000
adult,24,0.08842724431940654,5000
adult,25,0.06914337360379742,5000
adult,26,0.050587727926676096,5000
adult,27,0.03513970154920184,5000
adult,28,0.07599763572156151,5000
adult,29,0.04551511393800277,5000
adult,30,0.04853583812416992,5000
adult,31,0.05112916109013556,5000
adult,32,0.07531168944444827,5000
adult,33,0.04690787547576394,5000
adult,34,0.07917087642870003,5000
adult,35,0.06190959487424054,5000
adult,36,0.08563768572812731,5000
adult,37,0.07015872276333708,5000
adult,38,0.05349944357019646,5000
adult,39,0.04870487749709544,5000
adult,40,0.05556507228797799,5000
adult,41,0.06168872332442664,5000
adult,42,0.05753478735331221,5000
adult,44,0.038817809657819564,5000
adult,45,0.07791717422194618,5000
adult,46,0.048059764976093114,5000
adult,47,0.053546262610501334,5000
adult,48,0.07875899957694152,5000
adult,49,0.048737354826006905,5000
adult,50,0.05481555257515874,5000
adult,51,0.0687010541171735,5000
adult,53,0.05061304839801239,5000
adult,54,0.05496298881549325,5000
adult,55,0.04145739604727148,5000
adult,56,0.05550389356858457,5000
child,1,0.038575659513645874,5000
child,2,0.05849469426023183,5000
child,4,0.025117364665941704,5000
child,5,0.028650692481788042,5000
child,6,0.06061269588092106,5000
child,8,0.037195450780802206,5000
child,9,0.05400786819229154,5000
child,10,0.03212061814329376,5000
child,11,0.04887301519872629,5000
child,12,0.05141337084237326,5000
child,13,0.04416699259797087,5000
child,15,0.04130406700594192,5000
child,16,0.01243940647612017,5000
child,17,0.03309383497882511,5000
child,18,0.031086925833866273,5000
child,19,0.01987444198623323,5000
child,20,0.01925709215213856,5000
child,21,0.022920758957341324,5000
child,22,0.04073446300406781,5000
child,23,0.026437300224143086,5000
child,24,0.03584929011411476,5000
child,25,0.026753453941331967,5000
child,26,0.0286535092557974,5000
child,27,0.011911825386908168,5000
child,28,0.032143650900468404,5000
child,29,0.019484874718115525,5000
child,30,0.02689986819884975,5000
child,31,0.028143631445210395,5000
child,32,0.041272318355427974,5000
child,33,0.02083841312751002,5000
child,34,0.048120674847054144,5000
child,35,0.025050580235465445,5000
child,36,0.06029583949453049,5000
child,37,0.028905352376199327,5000
child,38,0.028562926622388015,5000
child,39,0.022135705196804877,5000
child,40,0.026025588418682237,5000
child,41,0.0276723607196344,5000
child,42,0.039565027426572696,5000
child,44,0.03772890213658011,5000
child,45,0.0359216910190162,5000
child,46,0.025066803012392416,5000
child,47,0.03257884832144134,5000
child,48,0.04143306977465253,5000
child,49,0.026829771974966946,5000
child,50,0.04401987856114045,5000
child,51,0.04336012975125432,5000
child,53,0.028559581234421833,5000
child,54,0.022957593496985285,5000
child,55,0.0150818645136235,5000
child,56,0.022324955880947142,5000
adult,1,0.05778250212550478,6000
adult,2,0.07339427089497842,6000
adult,4,0.05378334281420698,6000
adult,5,0.05211442562215762,6000
adult,6,0.0995475116719673,6000
adult,8,0.06748373955050599,6000
adult,9,0.06206798126401763,6000
adult,10,0.05153866509628458,6000
adult,11,0.09852241848753053,6000
adult,12,0.07980266737115228,6000
